ITEMTYPE,ITEMID,COLOR,MAXPRICE,MINQTY,CONDITION,REMARKS,NOTIFY
P,43723,1,0.0000,1,X,Added from model E755WHT,N
P,3003,11,0.0000,1,X,Added from model E755WHT,N
P,41769,1,0.0000,1,X,Added from model E755WHT,N
P,43722,1,0.0000,1,X,Added from model E755WHT,N
P,54657,86,0.0000,1,X,Added from model E755WHT,N
P,3941,15,0.0000,1,X,Added from model E755WHT,N
P,2654,15,0.0000,1,X,Added from model E755WHT,N
P,30383,85,0.0000,1,X,Added from model E755WHT,N
P,3705,11,0.0000,1,X,Added from model E755WHT,N
P,47755,1,0.0000,1,X,Added from model E755WHT,N
P,99780,11,0.0000,1,X,Added from model E755WHT,N
P,41770,1,0.0000,1,X,Added from model E755WHT,N
P,43093,86,0.0000,1,X,Added from model E755WHT,N
P,11291,1,0.0000,1,X,Added from model E755WHT,N
P,x346,1,0.0000,2,X,Added from model E755WHT,N
P,24201,86,0.0000,4,X,Added from model E755WHT,N
P,2654,1,0.0000,4,X,Added from model E755WHT,N
P,3023,86,0.0000,3,X,Added from model E755WHT,N
P,99781,11,0.0000,4,X,Added from model E755WHT,N
P,98138,15,0.0000,2,X,Added from model E755WHT,N
P,54200,85,0.0000,2,X,Added from model E755WHT,N
P,54200,11,0.0000,2,X,Added from model E755WHT,N
P,3700,86,0.0000,4,X,Added from model E755WHT,N
P,32064,11,0.0000,2,X,Added from model E755WHT,N
P,41531,1,0.0000,2,X,Added from model E755WHT,N
P,2780,11,0.0000,2,X,Added from model E755WHT,N
P,3022,11,0.0000,2,X,Added from model E755WHT,N
P,61678,11,0.0000,2,X,Added from model E755WHT,N
P,61678,1,0.0000,2,X,Added from model E755WHT,N
P,93606,1,0.0000,1,X,Added from model E755WHT,N
P,4073,1,0.0000,4,X,Added from model E755WHT,N
P,43898,15,0.0000,4,X,Added from model E755WHT,N
